//  PatLen	   TextLen	  Naive-RT	    KMP-RT
        10	     10000	      6941	       893
       100	     10000	        90	        84
      1000	     10000	        93	       229
        10	     20000	       203	       135
       100	     20000	       188	       127
      1000	     20000	       176	       146
     10000	     20000	       219	       243
        10	     30000	       292	       204
       100	     30000	       276	       194
      1000	     30000	       278	       215
     10000	     30000	       281	       306
        10	     40000	       389	       266
       100	     40000	       359	       335
      1000	     40000	       368	       443
     10000	     40000	       370	       359
        10	     50000	       487	       343
       100	     50000	       449	       321
      1000	     50000	       455	       333
     10000	     50000	       477	       399
        10	     60000	       537	       379
       100	     60000	       538	       391
      1000	     60000	       538	       404
     10000	     60000	       546	       468
        10	     70000	       727	       444
       100	     70000	       627	       456
      1000	     70000	       644	       482
     10000	     70000	       638	       534
        10	     80000	       748	       508
       100	     80000	       710	       511
      1000	     80000	       749	       519
     10000	     80000	       727	       591
        10	     90000	       815	       594
       100	     90000	       825	       578
      1000	     90000	       803	       585
     10000	     90000	       835	       630
        10	    100000	       915	       642
       100	    100000	       913	       639
      1000	    100000	       892	       696
     10000	    100000	       927	       700
        10	    110000	      1005	       693
       100	    110000	      1006	       729
      1000	    110000	      1002	       719
     10000	    110000	      1084	       753
        10	    120000	      1180	       758
       100	    120000	      1059	       763
      1000	    120000	      1061	       805
     10000	    120000	      1079	       789
        10	    130000	      1180	       825
       100	    130000	      1198	       828
      1000	    130000	      1161	       829
     10000	    130000	      1186	       850
        10	    140000	      1278	       902
       100	    140000	      1277	       914
      1000	    140000	      1266	       895
     10000	    140000	      1287	       921
        10	    150000	      1378	       948
       100	    150000	      1330	       947
      1000	    150000	      1340	       975
     10000	    150000	      1346	       989
        10	    160000	      1432	      1034
       100	    160000	      1459	      1011
      1000	    160000	      1478	      1022
     10000	    160000	      1494	      1008
        10	    170000	      1547	      1085
       100	    170000	      1530	      1076
      1000	    170000	      1522	      1083
     10000	    170000	      1523	      4239
        10	    180000	      4558	      1166
       100	    180000	      1677	      1153
      1000	    180000	      1600	      1163
     10000	    180000	      1630	      1138
        10	    190000	      1825	      1205
       100	    190000	      1802	      1207
      1000	    190000	      1779	      1205
     10000	    190000	      1839	      1195
        10	    200000	      1810	      1280
       100	    200000	      1775	      1310
      1000	    200000	      1898	      1273
     10000	    200000	      1816	      1233
    100000	    200000	      2033	      1566
        10	    210000	      1997	      1324
       100	    210000	      1908	      1362
      1000	    210000	      1863	      1337
     10000	    210000	      1913	      1296
    100000	    210000	      2152	      1652
        10	    220000	      1969	      1441
       100	    220000	      1961	      1388
      1000	    220000	      1950	      1399
     10000	    220000	      1999	      1380
    100000	    220000	      2248	      1653
        10	    230000	      2107	      1490
       100	    230000	      2049	      1469
      1000	    230000	      2445	      1458
