//  PatLen	   TextLen	  Naive-RT	    KMP-RT
        10	     10000	      2890	      5225
       100	     10000	       304	      1715
      1000	     10000	       307	      6962
        10	     20000	       582	       932
       100	     20000	       786	       978
      1000	     20000	       513	      2092
     10000	     20000	       330	      1759
        10	     30000	      3191	       378
       100	     30000	       534	       369
      1000	     30000	       583	       381
     10000	     30000	       554	      3516
        10	     40000	       788	       499
       100	     40000	      1065	       488
      1000	     40000	       845	       498
     10000	     40000	       797	       714
        10	     50000	      1909	       641
       100	     50000	       914	       753
      1000	     50000	       893	       658
     10000	     50000	       984	       971
        10	     60000	      1110	      5641
       100	     60000	      1192	      5680
      1000	     60000	      1015	      8537
     10000	     60000	      1095	      1215
        10	     70000	      4943	      1289
       100	     70000	      1460	       876
      1000	     70000	      1364	       870
     10000	     70000	      1484	      1096
        10	     80000	      1645	      1080
       100	     80000	      2506	       979
      1000	     80000	      1482	      1039
     10000	     80000	      1587	      1108
        10	     90000	      1466	      1103
       100	     90000	      6872	      1223
      1000	     90000	      1775	      1121
     10000	     90000	      1620	      1263
        10	    100000	      1794	      1367
       100	    100000	      1844	      1256
      1000	    100000	      1785	      1254
     10000	    100000	      2033	      1390
        10	    110000	      2033	      4074
       100	    110000	      3588	      1280
      1000	    110000	      2315	      5028
     10000	    110000	      2291	      3981
        10	    120000	      2172	      1663
       100	    120000	      2261	      1484
      1000	    120000	      2190	      1374
     10000	    120000	      2301	      1420
        10	    130000	      2336	      1619
       100	    130000	      8404	      9221
      1000	    130000	      4588	      1778
     10000	    130000	     13638	      3133
        10	    140000	      2785	      1550
       100	    140000	      2621	      1747
      1000	    140000	      2960	      1833
     10000	    140000	      2572	      1955
        10	    150000	      2676	      1835
       100	    150000	      2569	      1783
      1000	    150000	      2806	      1809
     10000	    150000	      2703	      1909
        10	    160000	      2790	      1429
       100	    160000	      1935	      1589
      1000	    160000	      2151	      1555
     10000	    160000	      2383	      1454
        10	    170000	      2938	      1507
       100	    170000	      2035	      1532
      1000	    170000	      1944	      1531
     10000	    170000	      1970	      1463
        10	    180000	      2259	      1786
       100	    180000	      2398	      1675
      1000	    180000	      2044	      2146
     10000	    180000	      2106	      1982
        10	    190000	      3342	      1705
       100	    190000	      2158	      2070
      1000	    190000	      2146	      2003
     10000	    190000	      2215	      1605
        10	    200000	      2635	      1864
       100	    200000	      2261	      1814
      1000	    200000	      2276	      2278
     10000	    200000	      3105	      1712
    100000	    200000	      4111	      2421
        10	    210000	      3819	      2582
       100	    210000	      3113	      2655
      1000	    210000	      3751	      1877
     10000	    210000	      3499	      1959
    100000	    210000	      4607	      3131
        10	    220000	      3891	      3529
       100	    220000	      3346	      7769
      1000	    220000	      3136	      3100
     10000	    220000	      3732	      3058
    100000	    220000	     11546	      3991
        10	    230000	     11679	      2950
       100	    230000	      4187	      2828
      1000	    230000	      4487	      2845
     10000	    230000	      3980	      2810
    100000	    230000	      5027	      6208
        10	    240000	      2814	      2649
       100	    240000	      5421	      2159
      1000	    240000	      2840	      2399
     10000	    240000	      2777	      2684
    100000	    240000	      3275	      3467
        10	    250000	      4350	      2274
       100	    250000	      2868	      2256
      1000	    250000	      3424	      2234
     10000	    250000	      4092	      2267
    100000	    250000	      3394	      4035
        10	    260000	      2964	      2334
       100	    260000	      3012	      2451
      1000	    260000	      2971	      2447
     10000	    260000	      3107	      2653
    100000	    260000	      3477	      2194
        10	    270000	      4462	      2592
       100	    270000	      3067	      2430
      1000	    270000	      3074	      2416
     10000	    270000	      3110	      2400
    100000	    270000	      3818	      2257
        10	    280000	      3312	      2651
       100	    280000	      4006	      2669
      1000	    280000	      3918	      3126
     10000	    280000	      4005	      2339
    100000	    280000	      4649	      2291
        10	    290000	      3372	      2598
       100	    290000	      3297	      2893
      1000	    290000	      3829	      3119
     10000	    290000	      3351	      2415
    100000	    290000	      3931	      2352
        10	    300000	      3504	      2650
       100	    300000	      3455	      2948
      1000	    300000	      3438	      2689
     10000	    300000	      3497	      2471
    100000	    300000	      4426	      2528
        10	    310000	      4260	      2799
       100	    310000	      5344	      3084
      1000	    310000	      3599	      2815
     10000	    310000	      3647	      2525
    100000	    310000	      4158	      3112
        10	    320000	      4470	      2853
       100	    320000	      3664	      3427
      1000	    320000	      3727	      2902
     10000	    320000	      3842	      2666
    100000	    320000	      4327	      3683
        10	    330000	      4202	      2979
       100	    330000	      3717	      3789
      1000	    330000	      3733	      2928
     10000	    330000	      3938	      2756
    100000	    330000	      4615	      2468
        10	    340000	      3903	      3066
       100	    340000	      4203	      3144
      1000	    340000	      3831	      3091
     10000	    340000	      3955	      2769
    100000	    340000	      5532	      3888
        10	    350000	      4035	      3642
       100	    350000	      3952	      3269
      1000	    350000	      3989	      3110
     10000	    350000	      4050	      2855
    100000	    350000	      4719	      2531
        10	    360000	      4230	      3500
       100	    360000	      4238	      3204
      1000	    360000	      4099	      3173
     10000	    360000	      4152	      3556
    100000	    360000	      4870	      3022
        10	    370000	      6057	      3456
       100	    370000	      4189	      3299
      1000	    370000	      4217	      3292
     10000	    370000	      4254	      2969
    100000	    370000	      6062	      2647
        10	    380000	      5143	      3545
       100	    380000	      4297	      3372
      1000	    380000	      4514	      3432
     10000	    380000	      4477	      3486
    100000	    380000	      6433	      3071
        10	    390000	      4816	      3642
       100	    390000	      4402	      3558
      1000	    390000	      4457	      3448
     10000	    390000	      4496	      3703
    100000	    390000	      6039	      3841
        10	    400000	      4526	      3647
       100	    400000	      5008	      3599
      1000	    400000	      4816	      3567
     10000	    400000	      4727	      4737
    100000	    400000	      5662	      2769
        10	    410000	      5176	      3757
       100	    410000	      4618	      3677
      1000	    410000	      4629	      3837
     10000	    410000	      4781	      3346
    100000	    410000	      5768	      2972
        10	    420000	      6665	      4092
       100	    420000	      4724	      3765
      1000	    420000	      4755	      3736
     10000	    420000	      4905	      3377
    100000	    420000	      5947	      5585
        10	    430000	      4962	      3885
       100	    430000	      5155	      3864
      1000	    430000	      4896	      3841
     10000	    430000	      4960	      3476
    100000	    430000	      6033	      2843
        10	    440000	      5056	      3977
       100	    440000	      5012	      3944
      1000	    440000	      5072	      3984
     10000	    440000	      5085	      3540
    100000	    440000	      6977	      4340
        10	    450000	      5197	      4270
       100	    450000	      5089	      4015
      1000	    450000	      5302	      4005
     10000	    450000	      5933	      3901
    100000	    450000	      6926	      4098
        10	    460000	      6205	      4095
       100	    460000	      5176	      4181
      1000	    460000	      5213	      4138
     10000	    460000	      5274	      3675
    100000	    460000	      6867	      2986
        10	    470000	      5424	      4366
       100	    470000	      5305	      4193
      1000	    470000	      5365	      5598
     10000	    470000	      5414	      3849
    100000	    470000	      6920	      4441
        10	    480000	      5452	      4277
       100	    480000	      5468	      4276
      1000	    480000	      5787	      4537
     10000	    480000	      5557	      3870
    100000	    480000	      7654	      3062
        10	    490000	      5633	      4563
       100	    490000	      5554	      4391
      1000	    490000	      5551	      4362
     10000	    490000	      5680	      4592
    100000	    490000	      7835	      3178
        10	    500000	      6324	      4501
       100	    500000	      5686	      4437
      1000	    500000	      5732	      4656
     10000	    500000	      6334	      4033
    100000	    500000	      6744	      3106
        10	    510000	      5958	      4848
       100	    510000	      5804	      4847
      1000	    510000	      5812	      4564
     10000	    510000	      5972	      4780
    100000	    510000	      7123	      3678
        10	    520000	      5918	      5060
       100	    520000	      9724	      4633
      1000	    520000	      5869	      4589
     10000	    520000	      8273	      4173
    100000	    520000	      7316	      4667
        10	    530000	      6522	      4767
       100	    530000	      5990	      4791
      1000	    530000	      5998	      4756
     10000	    530000	      6118	      4554
    100000	    530000	      7357	      3399
        10	    540000	      6159	      4857
       100	    540000	      6703	      4890
      1000	    540000	      7515	      4771
     10000	    540000	      6269	      4322
    100000	    540000	      7273	      3719
        10	    550000	      6274	      5014
       100	    550000	      6504	      4918
      1000	    550000	      6257	      4966
     10000	    550000	      6550	      4629
    100000	    550000	      7485	      4818
        10	    560000	      6499	      5054
       100	    560000	      6321	      4976
      1000	    560000	      6825	      5346
     10000	    560000	      6465	      4466
    100000	    560000	      7956	      3955
        10	    570000	      6617	      5174
       100	    570000	      6587	      5125
      1000	    570000	      6775	      5147
     10000	    570000	      7039	      4805
    100000	    570000	      7846	      4392
        10	    580000	      6931	      6991
       100	    580000	      7376	      6702
      1000	    580000	      6787	      5193
     10000	    580000	      7201	      4652
    100000	    580000	     10087	      3456
        10	    590000	      7789	      5384
       100	    590000	      6644	      5329
      1000	    590000	      6671	      5239
     10000	    590000	      7966	      4724
    100000	    590000	      7943	      3514
        10	    600000	     10741	      5915
       100	    600000	      6752	      5416
      1000	    600000	     10575	      5337
     10000	    600000	      6977	      4793
    100000	    600000	      8449	      3740
        10	    610000	      7791	      5484
       100	    610000	      7411	      7234
      1000	    610000	      7790	      5505
     10000	    610000	      7830	      4985
    100000	    610000	      9898	      3682
        10	    620000	      7183	      7599
       100	    620000	      6992	      5524
      1000	    620000	      7198	      5513
     10000	    620000	      9479	      4962
    100000	    620000	     10443	      3575
        10	    630000	      7146	      5613
       100	    630000	      8826	      5619
      1000	    630000	      7122	      5577
     10000	    630000	      8355	      4991
    100000	    630000	      9685	      5403
