//  PatLen	   TextLen	  Naive-RT	    KMP-RT
        10	     10000	      8607	     12173
       100	     10000	      4285	     17327
      1000	     10000	      3186	     11194
        10	     20000	      2561	       294
       100	     20000	      4147	      5407
      1000	     20000	      4148	      1668
     10000	     20000	      3884	      6772
        10	     30000	      3936	      2763
       100	     30000	      3001	      5539
      1000	     30000	      3013	      2693
     10000	     30000	      5667	      3278
        10	     40000	      4191	      5664
       100	     40000	      5706	      6239
      1000	     40000	      4228	      5672
     10000	     40000	      4146	      4868
        10	     50000	      5544	     17227
       100	     50000	       922	     15894
      1000	     50000	       959	      5034
     10000	     50000	      3559	      9230
        10	     60000	     19635	       884
       100	     60000	     23164	      6651
      1000	     60000	     14063	      2005
     10000	     60000	     12226	      4943
        10	     70000	      1777	       994
       100	     70000	      5942	      1055
      1000	     70000	      1253	      1017
     10000	     70000	      6292	      1295
        10	     80000	      1426	      1161
       100	     80000	      1480	      1127
      1000	     80000	      1465	      1190
     10000	     80000	      1570	      1394
        10	     90000	      2691	      2352
       100	     90000	      1666	      2972
      1000	     90000	      1693	      1358
     10000	     90000	      1710	      1610
        10	    100000	      1952	      7638
       100	    100000	      1786	      6231
      1000	    100000	      1769	      6364
     10000	    100000	      1870	      6924
        10	    110000	      7936	     10373
       100	    110000	      6788	      5139
      1000	    110000	      8463	      6460
     10000	    110000	      6031	     11816
        10	    120000	      8530	      7618
       100	    120000	      7090	     14229
      1000	    120000	      7921	      6669
     10000	    120000	      7722	     12028
        10	    130000	      2351	      2056
       100	    130000	      2722	      1948
      1000	    130000	      2646	      7065
     10000	    130000	      2892	      3000
        10	    140000	      3701	      7187
       100	    140000	      7486	      5920
      1000	    140000	      9651	      7867
     10000	    140000	     13469	      7779
        10	    150000	      8042	     15036
       100	    150000	      7384	      9363
      1000	    150000	      8110	     18169
     10000	    150000	     11332	     14754
        10	    160000	     12727	     22131
       100	    160000	     18265	     18162
      1000	    160000	     10204	      7538
     10000	    160000	     17597	      8356
        10	    170000	      8872	      7839
       100	    170000	      8545	      6883
      1000	    170000	     11673	      7151
     10000	    170000	      8134	      3336
        10	    180000	      3390	      9420
       100	    180000	      7905	      2646
      1000	    180000	     10935	      2710
     10000	    180000	     11235	      3503
        10	    190000	      3506	      7878
       100	    190000	      8438	      7791
      1000	    190000	      8893	      9026
     10000	    190000	      7466	     12054
        10	    200000	     10340	      2979
       100	    200000	     13514	      3050
      1000	    200000	     25250	      3047
     10000	    200000	     13496	      3935
    100000	    200000	     10283	      3601
        10	    210000	      4417	      3123
       100	    210000	      4193	      3648
      1000	    210000	      4345	      3195
     10000	    210000	      3918	      3545
    100000	    210000	      5034	     15057
        10	    220000	      8942	      3120
       100	    220000	     10044	      3104
      1000	    220000	      3979	      3149
     10000	    220000	      4028	      4604
    100000	    220000	      4836	     16135
        10	    230000	     15621	      3254
       100	    230000	      4028	      3233
      1000	    230000	      4721	      3289
     10000	    230000	      4149	     15358
    100000	    230000	      5012	     16092
        10	    240000	      7439	     22036
       100	    240000	      4318	      3419
      1000	    240000	     18443	      3511
     10000	    240000	     18713	      8179
    100000	    240000	     16422	      3729
        10	    250000	      4481	      3528
       100	    250000	      4398	      3527
      1000	    250000	      5565	      3604
     10000	    250000	     16004	      4332
    100000	    250000	     12115	      7624
        10	    260000	      4602	      3682
       100	    260000	     15637	      3680
      1000	    260000	     17735	      3737
     10000	    260000	     11840	      4250
    100000	    260000	     13721	      9288
        10	    270000	     13376	      7971
       100	    270000	      5172	      9533
      1000	    270000	      4803	     14839
     10000	    270000	      4931	     24168
    100000	    270000	      7211	     16265
        10	    280000	     12652	     12090
       100	    280000	      9506	     13340
      1000	    280000	      9393	      4401
     10000	    280000	     11774	      5429
    100000	    280000	     19333	      6772
        10	    290000	     17396	     14401
       100	    290000	     16494	     16060
      1000	    290000	      5107	     16132
     10000	    290000	      5714	     16736
    100000	    290000	      6296	      4756
        10	    300000	      5265	      4165
       100	    300000	     17259	      4184
      1000	    300000	      5280	      4262
     10000	    300000	      5411	      4898
    100000	    300000	     18491	      4935
        10	    310000	     20800	     13282
       100	    310000	     18369	      9744
      1000	    310000	     16713	      4469
     10000	    310000	     14118	      5507
    100000	    310000	     16891	      5758
        10	    320000	      5726	      6168
       100	    320000	     12727	      4874
      1000	    320000	     15261	      6013
     10000	    320000	     15955	      5687
    100000	    320000	     12369	     10224
        10	    330000	     10873	     11725
       100	    330000	     15279	     11439
      1000	    330000	     13234	     11961
     10000	    330000	     12817	     11826
    100000	    330000	     16631	     12425
        10	    340000	     16181	      4848
       100	    340000	     16723	      5136
      1000	    340000	      6617	      5273
     10000	    340000	      8005	      8453
    100000	    340000	      7509	     15689
        10	    350000	     17043	      4960
       100	    350000	     16311	      9904
      1000	    350000	     16324	      5219
     10000	    350000	     15737	      5808
    100000	    350000	     18608	      5908
        10	    360000	      8680	      5099
       100	    360000	      6364	      5046
      1000	    360000	      6507	      5289
     10000	    360000	      9978	      5979
    100000	    360000	      8006	      6274
        10	    370000	     17166	      5165
       100	    370000	     17316	      9356
      1000	    370000	      6654	      5497
     10000	    370000	      6966	      6255
    100000	    370000	      8267	     12970
        10	    380000	      6918	     10638
       100	    380000	      6806	     20196
      1000	    380000	      6770	     14556
     10000	    380000	      9536	     22251
    100000	    380000	     19324	      6980
        10	    390000	      7080	      5820
       100	    390000	      7364	      5976
      1000	    390000	      7853	      7616
     10000	    390000	     12586	      6683
    100000	    390000	      9025	     16613
        10	    400000	      7888	      6102
       100	    400000	      7610	      6039
      1000	    400000	      7188	      6194
     10000	    400000	      7890	      8312
    100000	    400000	      9655	     13692
        10	    410000	     21111	     15875
       100	    410000	      7240	     10853
      1000	    410000	      7760	     10476
     10000	    410000	      7424	     18839
    100000	    410000	     26839	     26986
        10	    420000	     17997	      5874
       100	    420000	     17048	      5930
      1000	    420000	     13445	      6044
     10000	    420000	      7782	     14550
    100000	    420000	      9412	     18944
        10	    430000	      7662	     16910
       100	    430000	     24244	      6158
      1000	    430000	     18537	      6142
     10000	    430000	     22044	     11675
    100000	    430000	     30753	      7603
        10	    440000	     22935	      6944
       100	    440000	     18743	      6489
      1000	    440000	     20656	      6785
     10000	    440000	     28256	      7827
    100000	    440000	     10104	     27766
        10	    450000	     28685	     14354
       100	    450000	      8070	      6244
      1000	    450000	      8024	      6434
     10000	    450000	     19049	      7497
    100000	    450000	     25774	     21441
        10	    460000	     12386	      6508
       100	    460000	     23172	      6545
      1000	    460000	     19034	      6618
     10000	    460000	     22359	      7633
    100000	    460000	     22900	      7917
        10	    470000	      8454	      8110
       100	    470000	      8366	      7039
      1000	    470000	      8543	      6818
     10000	    470000	     17575	      8136
    100000	    470000	     22831	     11017
        10	    480000	     18295	      6743
       100	    480000	     18648	      6775
      1000	    480000	      8592	      6917
     10000	    480000	      8829	      7986
    100000	    480000	     10647	     16526
        10	    490000	      8783	      6916
       100	    490000	      8745	      6921
      1000	    490000	      8785	      7106
     10000	    490000	      9050	      8471
    100000	    490000	     10907	      8535
        10	    500000	     14929	     19298
       100	    500000	     16455	     19044
      1000	    500000	     19619	      7195
     10000	    500000	     19204	     19640
    100000	    500000	     20958	     24982
        10	    510000	      9082	     17179
       100	    510000	     18320	      7294
      1000	    510000	      9112	      7343
     10000	    510000	     18401	     17941
    100000	    510000	     20535	     24840
        10	    520000	     23745	      7357
       100	    520000	     20320	      7393
      1000	    520000	      9404	      7530
     10000	    520000	     13345	      8711
    100000	    520000	     23172	     19189
        10	    530000	     22271	      7484
       100	    530000	      9522	      7566
      1000	    530000	      9431	      7703
     10000	    530000	      9721	      8887
    100000	    530000	     11827	      9357
        10	    540000	      9968	     21630
       100	    540000	     21919	     28344
      1000	    540000	     10355	     19676
     10000	    540000	      9906	     20744
    100000	    540000	     19881	     25949
        10	    550000	     12085	     25148
       100	    550000	     20845	     23656
      1000	    550000	     23172	     25242
     10000	    550000	     22843	     21039
    100000	    550000	     23279	     22670
        10	    560000	     26627	      9279
       100	    560000	     47211	      8021
      1000	    560000	     10788	     36311
     10000	    560000	     11035	     29203
    100000	    560000	     15562	     25695
        10	    570000	     28893	      8251
       100	    570000	     25086	      8123
      1000	    570000	     22421	      8643
     10000	    570000	     10773	      9721
    100000	    570000	     12937	     21869
        10	    580000	     29027	      8298
       100	    580000	     31910	      9419
      1000	    580000	     10498	      8929
     10000	    580000	     10792	      9831
    100000	    580000	     13714	     12443
        10	    590000	     11590	      8322
       100	    590000	     10949	      8950
      1000	    590000	     10801	      9221
     10000	    590000	     11253	     10639
    100000	    590000	     13178	     33239
        10	    600000	     25471	     27119
       100	    600000	     10634	     21792
      1000	    600000	     22312	     25242
     10000	    600000	     11024	     20795
    100000	    600000	     31900	     10830
        10	    610000	     11241	      8628
